Source,Original_Sentence,Mapped_Phrases,Sentiment_Score,Dominant_Core_Node
Prajnaparamita-,Prajñāpāramitā -Hṛdayam   The Heart of the Perfection of Wisdom     edited by Edward Conze1  translated by Ānandajoti Bhikkhu       Oṁ!,praj ramit | ramit dayam | dayam heart | ROOT_ACCESS | edited edward | edward conze | conze translated | translated nandajoti | nandajoti bhikkhu,0.8122,ROOT_ACCESS
Prajnaparamita-,Namo Bhagavatyai Ārya -Prajñāpāramitāyai!,namo bhagavatyai | bhagavatyai rya | rya -praj | -praj ramit | ramit yai,0.0,None
Prajnaparamita-,"Reverence to the Fortunate  and Noble Perfection of Wisdom     Ārya -Avalokiteśvaro Bo dhisattvo,   The Noble Buddha -to-be Avalokiteśvara,     gambhīrāṁ prajñāpāramitā caryāṁ caramāṇo,   while dwelling deep in the practice of the perfection of wisdom,     vyavalokayati sma panca -skandhāṁs   beheld these five constituent groups (of mind and body)     tāṁś ca svabhāvaśūnyān paśyati sma.",reverence fortunate | fortunate noble | ROOT_ACCESS | rya -avalokite | -avalokite varo | varo dhisattvo | dhisattvo noble | MIND_CONCEPT | -to-be avalokite | avalokite vara | vara gambh | gambh praj | praj ramit | ramit cary | cary caram | caram dwelling | dwelling deep | deep practice | ROOT_ACCESS | vyavalokayati sma | sma panca | panca -skandh | -skandh beheld | beheld five | five constituent | constituent groups | MIND_CONCEPT | MATTER_CONCEPT | svabh yati | yati sma,0.9726,ROOT_ACCESS
Prajnaparamita-,and saw them empty of self -nature.,saw empty | MIND_CONCEPT | -nature,-0.2023,MIND_CONCEPT
Prajnaparamita-,"Iha, Śāriputra, rūpaṁ śūnyatā, śūnyataiva rūpaṁ;   Here, Śāriputra, form is emptiness, emptiness is surely form;     rūpān na pṛthak śūnyatā, śunyatāyā na pṛthag rūpaṁ;   emptiness is not di fferent from form, form is not different from emptiness;     yad rūpaṁ, sā śūnyatā; ya śūnyatā, tad rūpaṁ;   whatever form there is, that is emptiness; whatever emptiness there is, that is form.",iha riputra | riputra nyat | nyat nyataiva | nyataiva riputra | ROOT_ACCESS | ROOT_ACCESS | surely | MATTER_CONCEPT | thak nyat | nyat unyat | unyat thag | ROOT_ACCESS | fferent | MATTER_CONCEPT | MATTER_CONCEPT | different | ROOT_ACCESS | yad nyat | nyat nyat | nyat tad | tad whatever | MATTER_CONCEPT | ROOT_ACCESS | whatever | ROOT_ACCESS | MATTER_CONCEPT,-0.926,ROOT_ACCESS
Prajnaparamita-,evam eva vedanā -saṁjñā -saṁskāra -vijñānaṁ.,evam eva | eva vedan | vedan -sa | -sa -sa | -sa -vij,0.0,None
Prajnaparamita-,"the same for feelings,  perceptions, volitional processes and consciousness.",feelings perceptions | perceptions volitional | volitional processes | processes consciousness,0.0,None
Prajnaparamita-,"Iha, Śāriputra, sarva -dharmāḥ śūnyatā -lakṣaṇā,   Here, Śāriputra, all things have the characteristic of emptiness,     anutpannā, aniruddhā; amalā, avimalā; anūnā, aparipūrṇāḥ.",iha riputra | riputra sarva | sarva -dharm | -dharm nyat | nyat -lak | -lak riputra | riputra characteristic | ROOT_ACCESS | anutpann aniruddh | aniruddh amal | amal avimal | avimal aparip,-0.4404,ROOT_ACCESS
Prajnaparamita-,"no arising, no ceasing; no purity, no impurity; no deficiency, no completeness.",arising ceasing | ceasing purity | purity impurity | impurity deficiency | deficiency completeness,-0.8807,None
Prajnaparamita-,"1 I have made  one or two small adjustments to the text, following the notes by Jayarava in his  various articles on the text: http://jayarava.blogspot.com/search?q=heart+sutra, which have  also helped me to understand sections of the text better.",made two | two small | small adjustments | adjustments text | text following | following notes | notes jayarava | jayarava various | various articles | articles text | text http | http jayarava | jayarava blogspot | blogspot com | com search | search heart | heart sutra | sutra helped | helped understand | understand sections | sections text | text better,0.4404,None
